observableId	preequilibrationConditionId	simulationConditionId	measurement	time	observableParameters	noiseParameters	observableTransformation	noiseDistribution
pEGFR_tot		model1_data1	0	0	scaling_pEGFR_tot	0.01	lin	normal
pEGFR_tot		model1_data1	0.004955	60	scaling_pEGFR_tot	0.01	lin	normal
pEGFR_tot		model1_data1	0.004034	120	scaling_pEGFR_tot	0.01	lin	normal
pEGFR_tot		model1_data1	0.0063674	300	scaling_pEGFR_tot	0.01	lin	normal
pEGFR_tot		model1_data1	0.010859	600	scaling_pEGFR_tot	0.01	lin	normal
pEGFR_tot		model1_data1	0.0071353	900	scaling_pEGFR_tot	0.01	lin	normal
pEGFR_tot		model1_data1	0.0037103	1800	scaling_pEGFR_tot	noiseParam	lin	normal
pEGFR_tot		model1_data1	0.0067693	3600	scaling_pEGFR_tot	noiseParam	lin	normal
pAkt_tot		model1_data1	0	0	scaling_pAkt_tot	noiseParam	lin	normal
pAkt_tot		model1_data1	0.031232	60	scaling_pAkt_tot	noiseParam	lin	normal
pAkt_tot		model1_data1	0.093444	120	scaling_pAkt_tot	noiseParam	lin	normal
pAkt_tot		model1_data1	0.23689	300	scaling_pAkt_tot	noiseParam	lin	normal
pAkt_tot		model1_data1	0.14973	600	scaling_pAkt_tot	noiseParam	lin	normal
pAkt_tot		model1_data1	0.093097	900	scaling_pAkt_tot	noiseParam	lin	normal
pAkt_tot		model1_data1	0.065764	1800	scaling_pAkt_tot	noiseParam	lin	normal
pAkt_tot		model1_data1	0.045765	3600	scaling_pAkt_tot	noiseParam	lin	normal
