parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	initializationPriorType	initializationPriorParameters	objectivePriorType	objectivePriorParameters
EGFR_turnover	EGFR_{turnover}	log10	-8	8	-2.829851402905720	1	uniform	1.5;2.5	uniform	1;3
init_AKT	init_{AKT}	log10	-8	8	-1.569748761347010	1	parameterScaleUniform	-3;3	parameterScaleUniform	-3;3
init_EGFR	init_{EGFR}	log10	-8	8	7.574449769978310	1	normal	1000;50	normal	1000;50
init_S6	init_{S6}	log10	-8	8	2.274303703079510	1	logNormal	3;2	logNormal	3;2
reaction_1_k1	reaction_{1,k1}	log10	-8	8	-2.432883473648650	1	parameterScaleNormal	1;2	parameterScaleNormal	1;2
reaction_1_k2	reaction_{1,k2}	log10	-8	8	-2.638050261080420	1	laplace	1000;20	laplace	1000;20
reaction_2_k1	reaction_{2,k1}	log10	-8	8	-3.028491843487350	1	logLaplace	2;1	logLaplac	2;1
reaction_2_k2	reaction_{2,k2}	log10	-8	8	4.785082050342620	1	parameterScaleLaplace	2;1	parameterScaleLaplace	2;1
reaction_3_k1	reaction_{3,k1}	log10	-8	8	-0.363286437827988	1				
reaction_4_k1	reaction_{4,k1}	log10	-8	8	-1.520638111941380	1				
reaction_5_k1	reaction_{5,k1}	log10	-8	8	-5.485039659360160	1				
reaction_5_k2	reaction_{5,k2}	log10	-8	8	-3.399521218630190	1				
reaction_6_k1	reaction_{6,k1}	log10	-8	8	-5.262553144389940	1				
reaction_7_k1	reaction_{7,k1}	log10	-8	8	-1.927999928058530	1				
reaction_8_k1	reaction_{8,k1}	log10	-8	8	-3.024677686513830	1				
reaction_9_k1	reaction_{9,k1}	log10	-8	8	-1.544990619577320	1				
scaling_pAkt_tot	scaling_{pAkt}_tot	log10	-8	8	1.616760082136900	1				
scaling_pEGFR_tot	scaling_{pEGFR}_tot	log10	-8	8	-7.248116492035960	1				
scaling_pS6_tot	scaling_{pS6}_tot	log10	-8	8	4.894991083571910	1				
