conditionId	conditionName	Fsk_time	Fsk_level	IBMX_time	IBMX_level	H89_time	H89_level	Sp8_Br_cAMPS_AM_time	Sp8_Br_cAMPS_AM_level	Rp8_pCPT_cAMPS_pAB_incubation_time	Rp8_pCPT_cAMPS_pAB_level	Rp8_Br_cAMPS_pAB_incubation_time	Rp8_Br_cAMPS_pAB_level	Rp_cAMPS_pAB_incubation_time	Rp_cAMPS_pAB_level	fourABnOH_incubation_time	fourABnOH_level
control	control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl__1	4-ABnOH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0
JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl__2	4-ABnOH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0
JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl__3	4-ABnOH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0
JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl__4	4-ABnOH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0
JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl__5	4-ABnOH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0
JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl__6	4-ABnOH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk__1	4-ABnOH/Fsk(10)	60	10	0	0	0	0	0	0	0	0	0	0	0	0	60	0
JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk__2	4-ABnOH/Fsk(10)	60	10	0	0	0	0	0	0	0	0	0	0	0	0	59	0
JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk__3	4-ABnOH/Fsk(10)	60	10	0	0	0	0	0	0	0	0	0	0	0	0	55	0
JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk__4	4-ABnOH/Fsk(10)	60	10	0	0	0	0	0	0	0	0	0	0	0	0	45	0
JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk__5	4-ABnOH/Fsk(10)	60	10	0	0	0	0	0	0	0	0	0	0	0	0	30	0
JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk__6	4-ABnOH/Fsk(10)	60	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl__1	4-ABnOH/Rp_cAMPS_pAB(10)	0	0	0	0	0	0	0	0	0	0	0	0	60	10	0	0
JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl__2	4-ABnOH/Rp_cAMPS_pAB(10)	0	0	0	0	0	0	0	0	0	0	0	0	59	10	0	0
JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl__3	4-ABnOH/Rp_cAMPS_pAB(10)	0	0	0	0	0	0	0	0	0	0	0	0	55	10	0	0
JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl__4	4-ABnOH/Rp_cAMPS_pAB(10)	0	0	0	0	0	0	0	0	0	0	0	0	45	10	0	0
JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl__5	4-ABnOH/Rp_cAMPS_pAB(10)	0	0	0	0	0	0	0	0	0	0	0	0	30	10	0	0
JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl__6	4-ABnOH/Rp_cAMPS_pAB(10)	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0
JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_Fsk__1	4-ABnOH/Fsk(10)/Rp-cAMPS-pAB(10)	0	0	0	0	0	0	0	0	0	0	0	0	60	10	0	0
JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_Fsk__2	4-ABnOH/Fsk(10)/Rp-cAMPS-pAB(10)	0	0	0	0	0	0	0	0	0	0	0	0	59	10	0	0
JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_Fsk__3	4-ABnOH/Fsk(10)/Rp-cAMPS-pAB(10)	0	0	0	0	0	0	0	0	0	0	0	0	55	10	0	0
JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_Fsk__4	4-ABnOH/Fsk(10)/Rp-cAMPS-pAB(10)	0	0	0	0	0	0	0	0	0	0	0	0	45	10	0	0
JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_Fsk__5	4-ABnOH/Fsk(10)/Rp-cAMPS-pAB(10)	0	0	0	0	0	0	0	0	0	0	0	0	30	10	0	0
JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_Fsk__6	4-ABnOH/Fsk(10)/Rp-cAMPS-pAB(10)	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0
JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl__1	4-ABnOH/Rp8-Br-cAMPS-pAB(10)	0	0	0	0	0	0	0	0	0	0	60	10	0	0	0	0
JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl__2	4-ABnOH/Rp8-Br-cAMPS-pAB(10)	0	0	0	0	0	0	0	0	0	0	59	10	0	0	0	0
JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl__3	4-ABnOH/Rp8-Br-cAMPS-pAB(10)	0	0	0	0	0	0	0	0	0	0	55	10	0	0	0	0
JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl__4	4-ABnOH/Rp8-Br-cAMPS-pAB(10)	0	0	0	0	0	0	0	0	0	0	45	10	0	0	0	0
JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl__5	4-ABnOH/Rp8-Br-cAMPS-pAB(10)	0	0	0	0	0	0	0	0	0	0	30	10	0	0	0	0
